annotation_id,image_id,file_name,category_name,final_class,bbox,area,image_width,image_height,split
80,28,batch_1/000024.jpg,Drink can,Metal,"[218.0, 1457.0, 273.0, 273.0]",19347.0,1537,2049,test
81,28,batch_1/000024.jpg,Drink can,Metal,"[634.0, 860.0, 227.0, 232.0]",26337.5,1537,2049,test
83,29,batch_1/000027.jpg,Drink can,Metal,"[668.0, 717.0, 455.0, 655.0]",165038.0,1537,2049,train
85,31,batch_1/000030.jpg,Drink can,Metal,"[604.0, 1052.0, 187.0, 320.0]",27762.0,1537,2049,train
86,32,batch_1/000031.jpg,Drink can,Metal,"[470.0, 1040.0, 413.0, 321.0]",89914.0,1537,2049,train
87,33,batch_1/000042.jpg,Food Can,Metal,"[664.0, 619.0, 239.0, 270.0]",50284.0,2049,1537,train
88,33,batch_1/000042.jpg,Food Can,Metal,"[1179.0, 662.0, 286.0, 265.0]",54620.0,2049,1537,train
91,34,batch_1/000050.jpg,Drink can,Metal,"[642.0, 854.0, 833.0, 804.0]",261358.0,1537,2049,train
93,35,batch_1/000059.jpg,Aerosol,Metal,"[656.0, 705.0, 319.0, 841.0]",220258.5,1537,2049,train
94,35,batch_1/000059.jpg,Normal paper,PaperCardboard,"[744.0, 551.0, 792.0, 777.0]",443764.5,1537,2049,train
97,36,batch_1/000000.jpg,Clear plastic bottle,Plastic,"[710.0, 1225.0, 153.0, 198.0]",14765.5,1537,2049,train
98,37,batch_1/000013.jpg,Glass bottle,Glass,"[811.0, 1123.0, 199.0, 350.0]",24923.0,1537,2049,val
100,38,batch_1/000015.jpg,Crisp packet,Other,"[828.0, 1058.0, 193.0, 187.0]",21204.0,1537,2049,train
101,39,batch_1/000016.jpg,Glass bottle,Glass,"[593.0, 934.0, 432.0, 238.0]",45001.0,1537,2049,test
102,40,batch_1/000017.jpg,Glass bottle,Glass,"[713.0, 530.0, 191.0, 373.0]",35424.0,1537,2049,train
103,41,batch_1/000025.jpg,Drink can,Metal,"[323.0, 1055.0, 487.0, 352.0]",97726.0,1537,2049,train
105,41,batch_1/000025.jpg,Normal paper,PaperCardboard,"[1426.0, 1294.0, 110.0, 273.0]",14693.0,1537,2049,train
106,42,batch_1/000029.jpg,Drink can,Metal,"[652.0, 874.0, 425.0, 689.0]",152825.5,1537,2049,train
107,43,batch_1/000035.jpg,Other plastic bottle,Plastic,"[33.0, 230.0, 602.0, 1316.0]",561775.0,1537,2049,train
108,43,batch_1/000035.jpg,Other plastic bottle,Plastic,"[807.0, 103.0, 710.0, 1613.0]",808831.5,1537,2049,val
110,44,batch_1/000037.jpg,Food Can,Metal,"[929.0, 557.0, 379.0, 500.0]",137266.5,2049,1537,train
111,44,batch_1/000037.jpg,Food Can,Metal,"[494.0, 531.0, 372.0, 533.0]",157322.0,2049,1537,train
112,44,batch_1/000037.jpg,Food Can,Metal,"[709.0, 271.0, 296.0, 482.0]",101780.5,2049,1537,train
115,45,batch_1/000045.jpg,Food Can,Metal,"[564.0, 1303.0, 522.0, 233.0]",99856.5,2049,1537,train
116,45,batch_1/000045.jpg,Food Can,Metal,"[0.0, 452.0, 437.0, 504.0]",196598.0,2049,1537,train
117,45,batch_1/000045.jpg,Food Can,Metal,"[395.0, 475.0, 424.0, 486.0]",183373.0,2049,1537,test
118,45,batch_1/000045.jpg,Food Can,Metal,"[804.0, 465.0, 339.0, 501.0]",157239.5,2049,1537,train
119,45,batch_1/000045.jpg,Food Can,Metal,"[1128.0, 327.0, 496.0, 648.0]",284755.0,2049,1537,train
120,45,batch_1/000045.jpg,Food Can,Metal,"[1583.0, 315.0, 466.0, 669.0]",280189.5,2049,1537,test
121,46,batch_1/000038.jpg,Food Can,Metal,"[238.0, 686.0, 401.0, 475.0]",134469.5,2049,1537,test
122,46,batch_1/000038.jpg,Food Can,Metal,"[802.0, 410.0, 413.0, 344.0]",89801.0,2049,1537,test
123,46,batch_1/000038.jpg,Food Can,Metal,"[1498.0, 636.0, 405.0, 477.0]",137404.5,2049,1537,train
129,47,batch_1/000065.JPG,Egg carton,PaperCardboard,"[1824.0, 475.0, 1028.0, 735.0]",548585.0,3264,2448,train
130,47,batch_1/000065.JPG,Egg carton,PaperCardboard,"[1183.0, 55.0, 1006.0, 1054.0]",695322.5,3264,2448,train
131,48,batch_1/000066.JPG,Egg carton,PaperCardboard,"[413.0, 1120.0, 1143.0, 922.0]",566935.5,3264,2448,train
132,49,batch_1/000067.JPG,Egg carton,PaperCardboard,"[31.0, 194.0, 1700.0, 2107.0]",3020306.0,2448,3264,val
134,51,batch_1/000069.JPG,Drink can,Metal,"[1050.0, 1654.0, 410.0, 353.0]",99515.5,2448,3264,train
135,52,batch_1/000070.JPG,Drink can,Metal,"[1038.0, 1111.0, 255.0, 637.0]",138820.5,2448,3264,train
136,53,batch_1/000071.JPG,Other carton,PaperCardboard,"[1024.0, 1397.0, 556.0, 592.0]",144990.0,2448,3264,train
137,54,batch_1/000072.JPG,Crisp packet,Other,"[704.0, 1301.0, 683.0, 591.0]",257105.0,2448,3264,test
138,54,batch_1/000072.JPG,Normal paper,PaperCardboard,"[1.0, 1413.0, 814.0, 1030.0]",533149.0,2448,3264,train
139,55,batch_1/000073.JPG,Drink can,Metal,"[940.0, 837.0, 492.0, 711.0]",202553.5,2448,3264,train
142,58,batch_1/000078.JPG,Paper bag,PaperCardboard,"[421.0, 1009.0, 1362.0, 1946.0]",1183239.5,2448,3264,train
143,59,batch_1/000079.JPG,Paper bag,PaperCardboard,"[257.0, 1089.0, 1712.0, 1781.0]",1918134.5,2448,3264,train
144,60,batch_1/000081.JPG,Clear plastic bottle,Plastic,"[749.0, 1972.0, 444.0, 284.0]",62899.0,2448,3264,train
146,61,batch_1/000082.JPG,Crisp packet,Other,"[966.0, 1399.0, 525.0, 485.0]",153477.0,2448,3264,train
149,63,batch_1/000084.JPG,Disposable plastic cup,Plastic,"[701.0, 2191.0, 605.0, 559.0]",176796.0,2448,3264,train
157,66,batch_1/000087.JPG,Paper bag,PaperCardboard,"[1018.0, 1125.0, 358.0, 397.0]",84571.0,2448,3264,train
158,67,batch_1/000088.JPG,Food Can,Metal,"[311.0, 1648.0, 865.0, 853.0]",591627.0,2448,3264,train
162,68,batch_1/000090.JPG,Food Can,Metal,"[608.0, 439.0, 931.0, 1192.0]",797474.0,2448,3264,train
163,68,batch_1/000090.JPG,Food waste,Organic,"[1118.0, 1008.0, 386.0, 380.0]",47527.5,2448,3264,test
164,69,batch_1/000091.JPG,Squeezable tube,Plastic,"[0.0, 414.0, 2190.0, 1601.0]",1321487.0,3264,2448,test
166,70,batch_1/000092.JPG,Other carton,PaperCardboard,"[277.0, 686.0, 1133.0, 1198.0]",829357.5,2448,3264,val
167,70,batch_1/000092.JPG,Spread tub,Plastic,"[1533.0, 926.0, 618.0, 656.0]",301459.5,2448,3264,train
169,71,batch_1/000093.JPG,Spread tub,Plastic,"[1278.0, 1841.0, 602.0, 654.0]",261345.5,2448,3264,train
171,72,batch_1/000094.JPG,Food waste,Organic,"[665.0, 936.0, 1057.0, 1023.0]",704098.0,2448,3264,test
175,74,batch_1/000096.JPG,Garbage bag,Other,"[597.0, 1008.0, 1218.0, 1126.0]",1044590.0,2448,3264,train
176,75,batch_1/000062.JPG,Drink can,Metal,"[870.0, 673.0, 620.0, 386.0]",148961.0,2448,3264,train
177,75,batch_1/000062.JPG,Drink can,Metal,"[1447.0, 829.0, 603.0, 661.0]",202419.5,2448,3264,train
178,75,batch_1/000062.JPG,Clear plastic bottle,Plastic,"[657.0, 1036.0, 835.0, 361.0]",199505.0,2448,3264,train
189,76,batch_1/000098.JPG,Clear plastic bottle,Plastic,"[571.0, 985.0, 447.0, 814.0]",211163.5,2448,3264,train
200,81,batch_1/000102.JPG,Corrugated carton,PaperCardboard,"[812.0, 1171.0, 1204.0, 825.0]",895154.5,2448,3264,train
201,81,batch_1/000102.JPG,Corrugated carton,PaperCardboard,"[955.0, 340.0, 1040.0, 878.0]",571137.5,2448,3264,val
202,81,batch_1/000102.JPG,Corrugated carton,PaperCardboard,"[1824.0, 720.0, 610.0, 818.0]",300483.0,2448,3264,train
208,82,batch_1/000104.JPG,Aerosol,Metal,"[734.0, 1236.0, 1192.0, 1153.0]",487038.0,3264,2448,train
211,82,batch_1/000104.JPG,Squeezable tube,Plastic,"[2493.0, 1044.0, 689.0, 1229.0]",348845.5,3264,2448,test
212,82,batch_1/000104.JPG,Squeezable tube,Plastic,"[1545.0, 1010.0, 375.0, 455.0]",49416.5,3264,2448,val
217,84,batch_1/000106.JPG,Other plastic bottle,Plastic,"[1680.0, 2500.0, 278.0, 682.0]",151893.5,2448,3264,train
218,84,batch_1/000106.JPG,Other plastic bottle,Plastic,"[2030.0, 2438.0, 417.0, 635.0]",206161.5,2448,3264,train
220,85,batch_1/000107.JPG,Drink can,Metal,"[2039.0, 1606.0, 360.0, 536.0]",144205.5,2448,3264,train
221,85,batch_1/000107.JPG,Garbage bag,Other,"[1909.0, 544.0, 200.0, 268.0]",29900.0,2448,3264,train
222,85,batch_1/000107.JPG,Garbage bag,Other,"[2061.0, 501.0, 189.0, 286.0]",36956.0,2448,3264,train
223,85,batch_1/000107.JPG,Garbage bag,Other,"[2153.0, 413.0, 192.0, 277.0]",28881.0,2448,3264,train
228,88,batch_1/000111.JPG,Drink can,Metal,"[844.0, 2332.0, 257.0, 296.0]",42960.5,2448,3264,train
229,88,batch_1/000111.JPG,Drink can,Metal,"[434.0, 1871.0, 187.0, 281.0]",43372.0,2448,3264,val
232,89,batch_1/000115.JPG,Clear plastic bottle,Plastic,"[361.0, 520.0, 698.0, 331.0]",115524.0,3264,2448,test
234,89,batch_1/000115.JPG,Drink can,Metal,"[2278.0, 759.0, 457.0, 213.0]",53063.0,3264,2448,train
236,89,batch_1/000115.JPG,Normal paper,PaperCardboard,"[2427.0, 845.0, 413.0, 262.0]",52684.0,3264,2448,test
243,91,batch_1/000118.JPG,Crisp packet,Other,"[831.0, 1289.0, 348.0, 251.0]",51014.5,2448,3264,train
244,92,batch_1/000119.JPG,Food waste,Organic,"[922.0, 1748.0, 492.0, 775.0]",254732.0,2448,3264,train
249,96,batch_1/000004.jpg,Drink can,Metal,"[649.0, 55.0, 93.0, 88.0]",4273.0,1241,751,test
250,97,batch_1/000124.JPG,Styrofoam piece,Other,"[489.0, 124.0, 1761.0, 3125.0]",4559112.0,2448,3264,train
253,98,batch_1/000127.JPG,Food Can,Metal,"[1.0, 1727.0, 849.0, 1217.0]",644002.5,2448,3264,train
254,98,batch_1/000127.JPG,Food Can,Metal,"[768.0, 1254.0, 962.0, 675.0]",350190.0,2448,3264,val
257,98,batch_1/000127.JPG,Garbage bag,Other,"[1.0, 0.0, 2447.0, 1097.0]",578778.0,2448,3264,train
258,98,batch_1/000127.JPG,Other carton,PaperCardboard,"[661.0, 97.0, 1787.0, 1212.0]",1044424.0,2448,3264,train
259,98,batch_1/000127.JPG,Other carton,PaperCardboard,"[1711.0, 1285.0, 736.0, 958.0]",430672.5,2448,3264,train
261,98,batch_1/000127.JPG,Spread tub,Plastic,"[634.0, 71.0, 513.0, 163.0]",52359.0,2448,3264,test
263,99,batch_1/000128.JPG,Other carton,PaperCardboard,"[0.0, 0.0, 1528.0, 1687.0]",1384536.5,2448,3264,train
265,99,batch_1/000128.JPG,Other carton,PaperCardboard,"[0.0, 1093.0, 1936.0, 1756.0]",1990231.0,2448,3264,train
266,99,batch_1/000128.JPG,Drink can,Metal,"[1102.0, 861.0, 611.0, 339.0]",145062.5,2448,3264,train
267,99,batch_1/000128.JPG,Food Can,Metal,"[1505.0, 401.0, 543.0, 567.0]",227249.5,2448,3264,train
268,99,batch_1/000128.JPG,Food Can,Metal,"[1850.0, 1007.0, 598.0, 531.0]",260253.0,2448,3264,test
271,99,batch_1/000128.JPG,Other plastic bottle,Plastic,"[954.0, 1582.0, 1492.0, 1290.0]",689658.0,2448,3264,test
276,100,batch_1/000129.JPG,Corrugated carton,PaperCardboard,"[0.0, 1139.0, 2394.0, 1963.0]",2324871.0,2448,3264,train
277,100,batch_1/000129.JPG,Food Can,Metal,"[618.0, 1224.0, 249.0, 242.0]",49169.0,2448,3264,test
279,100,batch_1/000129.JPG,Other carton,PaperCardboard,"[1014.0, 805.0, 447.0, 362.0]",55138.5,2448,3264,train
280,100,batch_1/000129.JPG,Egg carton,PaperCardboard,"[1196.0, 549.0, 262.0, 276.0]",60445.5,2448,3264,test
281,100,batch_1/000129.JPG,Other carton,PaperCardboard,"[1479.0, 772.0, 596.0, 328.0]",114783.0,2448,3264,train
282,100,batch_1/000129.JPG,Other carton,PaperCardboard,"[335.0, 641.0, 620.0, 511.0]",244810.5,2448,3264,train
309,101,batch_10/000000.jpg,Clear plastic bottle,Plastic,"[1370.0, 1291.0, 380.0, 150.0]",26956.999999999993,1824,4000,train
310,102,batch_10/000001.jpg,Other plastic bottle,Plastic,"[247.0, 101.04761, 458.0, 397.99998999999997]",98553.99794,4000,1824,val
315,102,batch_10/000001.jpg,Squeezable tube,Plastic,"[2231.0, 836.0476, 263.0, 206.0000000000001]",31791.00000000002,4000,1824,test
325,103,batch_10/000002.jpg,Clear plastic bottle,Plastic,"[1224.0, 994.0, 406.0, 200.0]",35170.99999999999,4000,1824,test
330,104,batch_10/000003.jpg,Clear plastic bottle,Plastic,"[516.0, 377.0, 248.0, 178.0]",28841.0,4000,1824,train
331,104,batch_10/000003.jpg,Clear plastic bottle,Plastic,"[665.0, 313.0, 245.0, 191.00000000000006]",28886.000000000004,4000,1824,val
357,106,batch_10/000005.jpg,Clear plastic bottle,Plastic,"[1139.0, 3035.0, 569.0, 222.0]",85967.50000000001,1824,4000,train
376,112,batch_10/000011.jpg,Glass bottle,Glass,"[827.0, 90.0, 157.0, 426.0]",40866.0,4000,1824,test
382,112,batch_10/000011.jpg,Glass bottle,Glass,"[2331.0, 487.0, 217.0, 534.0]",92945.0,4000,1824,train
384,112,batch_10/000011.jpg,Glass bottle,Glass,"[2585.0, 154.0, 212.0, 722.0]",100598.5,4000,1824,train
385,112,batch_10/000011.jpg,Glass bottle,Glass,"[2691.0, 567.0, 261.0, 620.0]",131237.0,4000,1824,train
404,120,batch_10/000019.jpg,Normal paper,PaperCardboard,"[663.0, 2432.0, 188.0, 306.0]",27548.5,1824,4000,train
429,126,batch_10/000025.jpg,Drink can,Metal,"[1151.0, 2356.0, 257.0, 191.0]",38245.0,1824,4000,test
430,127,batch_10/000026.jpg,Egg carton,PaperCardboard,"[1250.0, 1299.0, 435.0, 450.0]",119568.5,4000,1824,train
431,127,batch_10/000026.jpg,Egg carton,PaperCardboard,"[1689.0, 777.0, 449.0, 439.0]",121584.0,4000,1824,train
438,130,batch_10/000029.jpg,Clear plastic bottle,Plastic,"[539.5, 1928.0, 603.0, 561.0]",65608.5,1824,4000,train
442,131,batch_10/000030.jpg,Corrugated carton,PaperCardboard,"[869.0, 1605.0, 346.0, 191.0]",29120.0,1824,4000,train
443,132,batch_10/000031.jpg,Corrugated carton,PaperCardboard,"[631.0, 1508.0, 1192.0, 647.0]",400947.0,1824,4000,train
507,139,batch_10/000038.jpg,Normal paper,PaperCardboard,"[1.0, 2093.0, 187.0, 253.0]",37018.0,1824,4000,train
508,139,batch_10/000038.jpg,Magazine paper,PaperCardboard,"[1.0, 1522.0, 452.0, 616.0]",183107.0,1824,4000,train
554,152,batch_10/000051.jpg,Styrofoam piece,Other,"[1456.0, 1023.0, 306.0, 192.0]",37632.0,4000,1824,test
600,182,batch_10/000081.jpg,Clear plastic bottle,Plastic,"[1807.0, 673.0, 341.0, 163.0]",28188.5,4000,1824,val
610,185,batch_10/000084.jpg,Garbage bag,Other,"[501.0, 1263.0, 1278.0, 616.0]",398081.5,1824,4000,train
623,186,batch_10/000085.jpg,Corrugated carton,PaperCardboard,"[1038.0, 1407.0, 754.0, 436.0]",97025.5,1824,4000,val
631,188,batch_10/000087.jpg,Clear plastic bottle,Plastic,"[342.0, 836.0, 338.0, 159.0]",31072.5,1824,4000,test
635,189,batch_10/000088.jpg,Other carton,PaperCardboard,"[989.0, 1556.0, 433.0, 387.0]",93893.5,1824,4000,val
646,192,batch_10/000091.jpg,Glass bottle,Glass,"[2214.0, 1255.0, 429.0, 244.0]",42008.5,4000,1824,train
657,194,batch_10/000093.jpg,Glass bottle,Glass,"[2588.0, 1543.0, 143.0, 279.0]",23547.5,4000,1824,val
680,198,batch_10/000097.jpg,Clear plastic bottle,Plastic,"[800.0, 2520.0, 396.0, 151.0]",40387.0,1824,4000,train
682,199,batch_10/000098.jpg,Styrofoam piece,Other,"[564.0952, 1500.238, 1013.0, 1335.9999999999998]",874073.4999999998,1824,4000,train
683,199,batch_10/000098.jpg,Corrugated carton,PaperCardboard,"[527.0, 1478.619, 959.0, 1332.0001]",55827.29635238005,1824,4000,train
686,201,batch_11/000000.jpg,Styrofoam piece,Other,"[1323.0, 725.0, 1751.0, 882.0]",1070663.5,4000,1824,train
687,201,batch_11/000000.jpg,Corrugated carton,PaperCardboard,"[1329.0, 633.0, 1737.0, 300.0]",158090.0,4000,1824,train
689,202,batch_11/000001.jpg,Styrofoam piece,Other,"[784.0, 1785.0000000000002, 419.0, 395.9999999999998]",64829.99999999997,1824,4000,val
690,202,batch_11/000001.jpg,Styrofoam piece,Other,"[0.0, 0.0, 1820.0, 1242.0]",1996942.0,1824,4000,train
691,202,batch_11/000001.jpg,Corrugated carton,PaperCardboard,"[1382.0, 1035.0, 189.0, 204.0]",24620.5,1824,4000,train
692,203,batch_11/000002.jpg,Styrofoam piece,Other,"[572.0, 1625.0, 882.0, 1145.0]",560844.0,1824,4000,train
693,204,batch_11/000003.jpg,Corrugated carton,PaperCardboard,"[131.0, 1160.0, 720.0, 799.0]",373846.5,1824,4000,train
694,204,batch_11/000003.jpg,Corrugated carton,PaperCardboard,"[194.0, 1674.0, 1532.0, 1541.0]",2007828.0,1824,4000,test
695,204,batch_11/000003.jpg,Corrugated carton,PaperCardboard,"[687.0, 226.0, 1135.0, 1619.0]",1136835.0,1824,4000,train
698,205,batch_11/000004.jpg,Styrofoam piece,Other,"[1.0, 213.0, 1142.0, 3582.0]",2005818.5,1824,4000,train
699,205,batch_11/000004.jpg,Corrugated carton,PaperCardboard,"[1126.0, 1363.0, 696.0, 1177.0]",623638.5,1824,4000,test
700,206,batch_11/000005.jpg,Corrugated carton,PaperCardboard,"[2.0, 1207.0, 1641.0, 1653.0]",2222282.0,1824,4000,train
701,206,batch_11/000005.jpg,Styrofoam piece,Other,"[2.0, 1896.0, 1177.0, 837.0]",792167.0,1824,4000,train
702,207,batch_11/000006.jpg,Corrugated carton,PaperCardboard,"[119.0, 1692.0, 664.0, 699.0]",257788.5,1824,4000,train
703,207,batch_11/000006.jpg,Corrugated carton,PaperCardboard,"[643.0, 1801.0, 639.0, 885.0]",332874.0,1824,4000,train
704,207,batch_11/000006.jpg,Corrugated carton,PaperCardboard,"[1148.0, 2082.0, 605.0, 663.0]",271767.5,1824,4000,train
705,207,batch_11/000006.jpg,Corrugated carton,PaperCardboard,"[1195.0, 1337.0, 260.0, 228.0]",34938.0,1824,4000,train
706,208,batch_11/000007.jpg,Styrofoam piece,Other,"[1180.0, 2191.0, 504.9999999999998, 806.0]",364439.99999999994,1824,4000,train
707,209,batch_11/000008.jpg,Styrofoam piece,Other,"[0.0, -1.0, 1352.0, 2364.0]",2866329.0,1824,4000,train
708,209,batch_11/000008.jpg,Corrugated carton,PaperCardboard,"[2.0, 3336.9999999999995, 1419.0, 662.0000000000005]",216862.9999999997,1824,4000,train
709,209,batch_11/000008.jpg,Corrugated carton,PaperCardboard,"[0.0, 0.0, 1811.5068493150686, 3793.75]",6657464.630136986,1824,4000,train
710,210,batch_11/000009.jpg,Garbage bag,Other,"[779.0, 651.0, 792.0, 695.0]",326176.5,1824,4000,train
711,210,batch_11/000009.jpg,Corrugated carton,PaperCardboard,"[745.0, 2445.0, 876.0, 813.0]",333698.0,1824,4000,train
712,211,batch_11/000010.jpg,Corrugated carton,PaperCardboard,"[256.0, 921.0, 625.0, 836.0]",337070.5,1824,4000,train
714,211,batch_11/000010.jpg,Corrugated carton,PaperCardboard,"[876.0, 1039.0, 929.0, 584.0]",272870.0,1824,4000,test
715,211,batch_11/000010.jpg,Corrugated carton,PaperCardboard,"[1015.0, 1043.0, 721.0, 221.0]",93558.0,1824,4000,val
716,211,batch_11/000010.jpg,Corrugated carton,PaperCardboard,"[199.0, 1477.0, 846.0, 727.0]",373004.0,1824,4000,train
717,212,batch_11/000011.jpg,Pizza box,PaperCardboard,"[318.0, 1308.0476, 1175.0, 1127.9999999999998]",537022.9999999999,1824,4000,test
718,212,batch_11/000011.jpg,Corrugated carton,PaperCardboard,"[193.95238, 3250.6191, 1624.14282, 748.4285]",636975.4581681001,1824,4000,train
719,212,batch_11/000011.jpg,Corrugated carton,PaperCardboard,"[695.0, 3687.762, 1082.0952, 311.2855999999997]",201456.14359455978,1824,4000,val
720,213,batch_11/000012.jpg,Corrugated carton,PaperCardboard,"[0.0, 1339.0, 1754.0, 1895.0]",2385035.5,1824,4000,test
721,213,batch_11/000012.jpg,Corrugated carton,PaperCardboard,"[1229.0, 3178.0, 594.0, 821.0]",247706.5,1824,4000,train
722,214,batch_11/000013.jpg,Corrugated carton,PaperCardboard,"[1.0, 3149.0, 302.0, 850.0]",160831.5,1824,4000,train
723,214,batch_11/000013.jpg,Corrugated carton,PaperCardboard,"[345.0, 1.0, 1474.0, 3245.0]",4072287.5,1824,4000,test
724,215,batch_11/000014.jpg,Corrugated carton,PaperCardboard,"[265.3333, 1755.619, 1374.0001, 1121.8097]",852710.6661666702,1824,4000,val
725,215,batch_11/000014.jpg,Styrofoam piece,Other,"[257.3333, 2350.238, 597.0, 568.0]",179466.20620000007,1824,4000,train
726,216,batch_11/000015.jpg,Styrofoam piece,Other,"[843.0, 1867.0, 382.0, 578.0]",204466.5,1824,4000,train
727,216,batch_11/000015.jpg,Styrofoam piece,Other,"[491.0, 1293.0, 1132.0, 1170.0]",263040.5,1824,4000,train
731,217,batch_11/000016.jpg,Corrugated carton,PaperCardboard,"[578.0, 221.0, 1131.0, 787.0]",729133.5,4000,1824,train
