image_path,true_class,predicted_class,predicted_probability,top2_class,top2_probability,top3_class,top3_probability,misclassified,low_confidence,focus_case
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass404.jpg,Glass,Glass,0.6152,Plastic,0.1706,Other,0.1237,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass405.jpg,Glass,Glass,0.9517,Metal,0.0201,Other,0.0105,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass406.jpg,Glass,Glass,0.8127,Metal,0.1435,Plastic,0.0258,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass408.jpg,Glass,Metal,0.3829,Glass,0.372,Plastic,0.184,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass410.jpg,Glass,Metal,0.6237,Glass,0.3533,Other,0.0097,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass411.jpg,Glass,Glass,0.9901,PaperCardboard,0.0031,Metal,0.003,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass415.jpg,Glass,Glass,0.9426,PaperCardboard,0.0216,Metal,0.0188,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass42.jpg,Glass,Glass,0.9967,Plastic,0.0018,Other,0.0008,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass425.jpg,Glass,Glass,0.9865,Other,0.0075,Metal,0.0034,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass430.jpg,Glass,Glass,0.6227,Other,0.2163,Metal,0.1436,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass435.jpg,Glass,Glass,0.7685,Plastic,0.0943,Other,0.057,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass439.jpg,Glass,Glass,0.8115,Plastic,0.1538,PaperCardboard,0.0172,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass440.jpg,Glass,Glass,0.7772,Other,0.2072,Plastic,0.0103,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass455.jpg,Glass,Glass,0.9336,Plastic,0.0597,Other,0.0036,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass461.jpg,Glass,Glass,0.8764,Plastic,0.0923,Metal,0.0218,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass470.jpg,Glass,Glass,0.6779,Plastic,0.2605,Other,0.0447,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass488.jpg,Glass,Glass,0.9596,Other,0.0339,Metal,0.0032,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass490.jpg,Glass,Glass,0.9748,PaperCardboard,0.0088,Metal,0.0088,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass51.jpg,Glass,Glass,0.9753,Plastic,0.0126,Metal,0.0063,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass52.jpg,Glass,Glass,0.986,Metal,0.0068,Other,0.0054,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass59.jpg,Glass,Glass,0.9482,Plastic,0.0217,Metal,0.0125,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass62.jpg,Glass,Glass,0.9029,Metal,0.0425,Plastic,0.0279,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass74.jpg,Glass,Glass,0.9515,Metal,0.0177,Plastic,0.0135,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass75.jpg,Glass,Glass,0.8769,Other,0.05,Plastic,0.0426,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass80.jpg,Glass,Glass,0.9485,PaperCardboard,0.0241,Metal,0.0168,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass87.jpg,Glass,Glass,0.8255,Other,0.0715,Plastic,0.0585,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass9.jpg,Glass,Glass,0.716,PaperCardboard,0.1528,Metal,0.0643,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass94.jpg,Glass,Glass,0.813,Metal,0.171,PaperCardboard,0.0059,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000001_ann4477.jpg,Metal,Other,0.5063,Metal,0.1809,Glass,0.1653,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000014_ann4086.jpg,Metal,Other,0.5063,Metal,0.1809,Glass,0.1653,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000023_ann74.jpg,Metal,Other,0.3181,Glass,0.2983,Metal,0.2927,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000023_ann973.jpg,Metal,Other,0.655,Plastic,0.1533,Metal,0.1139,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000024_ann80.jpg,Metal,Other,0.5789,Metal,0.1726,Glass,0.1598,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000024_ann81.jpg,Metal,Other,0.9235,Plastic,0.0297,Metal,0.0257,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000025_ann429.jpg,Metal,Metal,0.3671,Other,0.173,Glass,0.1714,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000028_ann3526.jpg,Metal,Other,0.5063,Metal,0.1809,Glass,0.1653,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000038_ann122.jpg,Metal,Other,0.3376,Metal,0.3124,Plastic,0.1757,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000042_ann2283.jpg,Metal,Plastic,0.4933,Other,0.3666,Metal,0.1319,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000048_ann794.jpg,Metal,Other,0.5889,Metal,0.1463,Plastic,0.1361,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000057_ann3441.jpg,Metal,Other,0.5063,Metal,0.1809,Glass,0.1653,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000066_ann4392.jpg,Metal,Other,0.5063,Metal,0.1809,Glass,0.1653,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000069_ann1803.jpg,Metal,Glass,0.4178,Other,0.2686,Metal,0.1743,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000073_ann2930.jpg,Metal,Metal,0.3777,Glass,0.3195,Other,0.1721,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000080_ann2349.jpg,Metal,Metal,0.3883,Other,0.3723,Plastic,0.1176,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\000087_ann4449.jpg,Metal,Other,0.5063,Metal,0.1809,Glass,0.1653,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\IMG_5055_ann2538.jpg,Metal,Metal,0.3595,Other,0.354,Plastic,0.1689,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal1.jpg,Metal,Glass,0.4682,PaperCardboard,0.3829,Metal,0.1239,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal119.jpg,Metal,Glass,0.723,Metal,0.2461,Other,0.0197,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal13.jpg,Metal,Glass,0.8575,Metal,0.1336,PaperCardboard,0.0042,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal165.jpg,Metal,Metal,0.5158,Plastic,0.326,Other,0.0755,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal168.jpg,Metal,Metal,0.5241,Glass,0.4049,Other,0.0358,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal199.jpg,Metal,Glass,0.4135,PaperCardboard,0.3947,Metal,0.1186,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal208.jpg,Metal,Metal,0.339,Plastic,0.3316,PaperCardboard,0.2448,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal209.jpg,Metal,Metal,0.446,Plastic,0.3736,PaperCardboard,0.1228,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal21.jpg,Metal,Glass,0.4806,Metal,0.4275,PaperCardboard,0.0557,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal217.jpg,Metal,PaperCardboard,0.62,Glass,0.2576,Plastic,0.0803,True,False,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal233.jpg,Metal,Glass,0.9379,Metal,0.0464,Plastic,0.013,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal278.jpg,Metal,Glass,0.635,Metal,0.2361,Plastic,0.1134,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal292.jpg,Metal,Metal,0.4166,Plastic,0.2942,Glass,0.2269,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal297.jpg,Metal,Metal,0.4904,Glass,0.4128,PaperCardboard,0.0668,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal305.jpg,Metal,Metal,0.5223,Glass,0.4521,Other,0.0164,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal332.jpg,Metal,PaperCardboard,0.3761,Glass,0.2965,Metal,0.2884,True,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal340.jpg,Metal,Other,0.5201,Glass,0.2937,Metal,0.1596,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal362.jpg,Metal,Glass,0.5929,Metal,0.16,Other,0.1392,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal38.jpg,Metal,Glass,0.7503,Metal,0.2058,Other,0.0228,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal382.jpg,Metal,Glass,0.6007,Metal,0.3314,Plastic,0.0345,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal69.jpg,Metal,Metal,0.5235,Plastic,0.256,Glass,0.1927,False,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Metal\metal87.jpg,Metal,PaperCardboard,0.4511,Metal,0.4153,Glass,0.0459,True,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Organic\000090_ann163.jpg,Organic,Metal,0.289,Other,0.2724,PaperCardboard,0.2044,True,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Organic\000094_ann171.jpg,Organic,PaperCardboard,0.3017,Plastic,0.2803,Glass,0.1895,True,True,False
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000013_ann3561.jpg,Other,Other,0.5063,Metal,0.1809,Glass,0.1653,False,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000014_ann3065.jpg,Other,Other,0.5669,Plastic,0.3064,Metal,0.0876,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000021_ann3670.jpg,Other,Other,0.5063,Metal,0.1809,Glass,0.1653,False,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000022_ann1980.jpg,Other,Other,0.9534,Metal,0.0243,Plastic,0.0135,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000023_ann2240.jpg,Other,Glass,0.4193,Other,0.3423,Metal,0.1571,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000028_ann755.jpg,Other,Other,0.4649,Glass,0.2396,Metal,0.1639,False,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000029_ann1550.jpg,Other,Other,0.6896,Metal,0.1073,Plastic,0.1053,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000035_ann773.jpg,Other,Other,0.5194,PaperCardboard,0.1843,Plastic,0.1674,False,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000044_ann787.jpg,Other,Glass,0.2964,Metal,0.2888,Other,0.2514,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000051_ann554.jpg,Other,Other,0.6281,Metal,0.1419,Glass,0.1189,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000052_ann1782.jpg,Other,Glass,0.5526,Other,0.2104,Metal,0.1368,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000054_ann4339.jpg,Other,Other,0.5063,Metal,0.1809,Glass,0.1653,False,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000072_ann137.jpg,Other,PaperCardboard,0.3798,Other,0.2978,Metal,0.1417,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000072_ann2856.jpg,Other,Other,0.9895,PaperCardboard,0.0062,Plastic,0.0036,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000074_ann1810.jpg,Other,Other,0.6873,Metal,0.1277,Plastic,0.0883,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000074_ann842.jpg,Other,Metal,0.3885,Other,0.3833,Plastic,0.2126,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000075_ann851.jpg,Other,Other,0.5906,Plastic,0.2571,Metal,0.1141,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000084_ann4722.jpg,Other,Other,0.5063,Metal,0.1809,Glass,0.1653,False,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\000094_ann2963.jpg,Other,Glass,0.6509,Metal,0.1436,Plastic,0.1121,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\IMG_4860_ann2551.jpg,Other,Other,0.6406,PaperCardboard,0.2074,Plastic,0.0801,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\trash115.jpg,Other,Other,0.9208,Metal,0.0629,Plastic,0.0069,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\trash120.jpg,Other,Other,0.8904,Glass,0.0538,PaperCardboard,0.0244,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\trash121.jpg,Other,Glass,0.6976,Other,0.1786,Plastic,0.052,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\trash126.jpg,Other,Other,0.6503,Glass,0.2298,Metal,0.0702,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Other\trash128.jpg,Other,Other,0.9815,Glass,0.0061,PaperCardboard,0.0054,False,False,True
