split,image_path,true_class,predicted_class,predicted_probability,top2_class,top2_probability,transition
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000076_ann4686.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000091_ann646.jpg,Glass,Other,0.5834,Plastic,0.2966,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000094_ann4765.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000096_ann1850.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000096_ann3919.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000119_ann3949.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\glass174.jpg,Glass,Other,0.5476,Glass,0.4066,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\glass205.jpg,Glass,Other,0.5404,Glass,0.3722,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\glass215.jpg,Glass,Other,0.6825,Plastic,0.1981,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\glass221.jpg,Glass,Other,0.4698,Glass,0.4434,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\glass240.jpg,Glass,Other,0.5023,Glass,0.38,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000000_ann1882.jpg,Metal,Other,0.7862,Metal,0.1523,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000008_ann4060.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000009_ann4066.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000013_ann3560.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000014_ann4079.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000014_ann4081.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000014_ann4082.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000014_ann4084.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000014_ann4085.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000014_ann4088.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000014_ann4089.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000014_ann4090.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000014_ann4091.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000016_ann3080.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000018_ann958.jpg,Metal,Glass,0.8248,Plastic,0.0816,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000024_ann1741.jpg,Metal,Other,0.4779,Metal,0.2544,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000024_ann3530.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000025_ann3691.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000027_ann2258.jpg,Metal,Glass,0.615,Metal,0.3297,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000027_ann83.jpg,Metal,Other,0.6284,Metal,0.1739,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000028_ann4210.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000029_ann2261.jpg,Metal,Glass,0.478,Other,0.2725,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000030_ann2050.jpg,Metal,Other,0.5,Metal,0.2604,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000035_ann2268.jpg,Metal,Glass,0.4818,Metal,0.3277,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000040_ann3133.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000044_ann1135.jpg,Metal,Glass,0.686,Metal,0.1554,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000045_ann115.jpg,Metal,Glass,0.5945,Metal,0.3112,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000046_ann3146.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000047_ann11.jpg,Metal,Glass,0.5292,Metal,0.4183,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000051_ann3167.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000053_ann1195.jpg,Metal,Other,0.646,Glass,0.1386,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000057_ann3435.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000057_ann3436.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000057_ann3437.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000057_ann3438.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000057_ann3442.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000057_ann3444.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000059_ann4353.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000059_ann93.jpg,Metal,Glass,0.6513,Metal,0.2472,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000072_ann4405.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000078_ann3283.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000083_ann4712.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000088_ann158.jpg,Metal,Glass,0.6758,Metal,0.2896,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000088_ann4451.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000092_ann3912.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000092_ann3913.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000095_ann3918.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000095_ann4464.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000097_ann4467.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000097_ann4468.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000114_ann3942.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\000118_ann3948.jpg,Metal,Other,0.5063,Metal,0.1809,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\IMG_4977_ann2487.jpg,Metal,Other,0.876,Plastic,0.0691,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\IMG_5050_ann2524.jpg,Metal,Glass,0.945,Metal,0.0327,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\IMG_5058_ann2542.jpg,Metal,Other,0.6728,Metal,0.1736,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal10.jpg,Metal,Glass,0.8963,Metal,0.0685,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal104.jpg,Metal,Glass,0.7796,Other,0.1593,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal105.jpg,Metal,Glass,0.5369,Metal,0.3702,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal109.jpg,Metal,Glass,0.8148,Metal,0.1602,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal116.jpg,Metal,Glass,0.609,Metal,0.297,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal127.jpg,Metal,Glass,0.749,Metal,0.1929,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal139.jpg,Metal,Glass,0.5029,Metal,0.4498,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal151.jpg,Metal,Glass,0.5264,Metal,0.4262,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal164.jpg,Metal,Other,0.4742,Metal,0.2702,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal175.jpg,Metal,Glass,0.6195,Metal,0.331,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal178.jpg,Metal,Glass,0.8148,Metal,0.1607,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal200.jpg,Metal,Glass,0.8945,Metal,0.0834,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal222.jpg,Metal,Glass,0.6342,Metal,0.3516,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal225.jpg,Metal,Other,0.9917,Metal,0.0024,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal228.jpg,Metal,Glass,0.4761,Metal,0.4589,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal248.jpg,Metal,Glass,0.6313,Metal,0.3502,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal250.jpg,Metal,Other,0.8557,Glass,0.0783,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal256.jpg,Metal,Glass,0.8341,Other,0.0719,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal264.jpg,Metal,Glass,0.8943,Metal,0.0805,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal267.jpg,Metal,Glass,0.5211,Metal,0.3835,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal272.jpg,Metal,Glass,0.5725,Metal,0.3617,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal286.jpg,Metal,Glass,0.6021,Metal,0.378,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal288.jpg,Metal,Glass,0.6972,Metal,0.2839,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal298.jpg,Metal,Other,0.9429,Metal,0.0453,Metal -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal302.jpg,Metal,Glass,0.5196,Metal,0.4171,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal304.jpg,Metal,Glass,0.7318,Metal,0.2308,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal308.jpg,Metal,Glass,0.5796,Metal,0.3787,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal316.jpg,Metal,Glass,0.5917,Metal,0.3804,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal318.jpg,Metal,Glass,0.8332,Metal,0.0934,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal326.jpg,Metal,Glass,0.5121,Metal,0.4686,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal327.jpg,Metal,Glass,0.8814,Metal,0.0946,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal36.jpg,Metal,Glass,0.5866,Metal,0.3349,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal366.jpg,Metal,Glass,0.7777,Metal,0.1893,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal369.jpg,Metal,Glass,0.6012,Metal,0.3216,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal373.jpg,Metal,Glass,0.6789,Metal,0.2648,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal384.jpg,Metal,Glass,0.5549,Metal,0.3407,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal391.jpg,Metal,Glass,0.5258,Metal,0.4575,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal399.jpg,Metal,Glass,0.5838,Metal,0.3452,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal47.jpg,Metal,Glass,0.5411,Metal,0.3539,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal48.jpg,Metal,Glass,0.9218,Metal,0.0418,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal63.jpg,Metal,Glass,0.6849,Metal,0.2684,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal66.jpg,Metal,Glass,0.8863,Metal,0.0986,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal91.jpg,Metal,Glass,0.95,Metal,0.0409,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Metal\metal95.jpg,Metal,Glass,0.5287,Metal,0.2017,Metal -> Glass
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000000_ann687.jpg,PaperCardboard,Other,0.8659,PaperCardboard,0.0686,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000001_ann3579.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000002_ann3574.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000004_ann2778.jpg,PaperCardboard,Other,0.6312,Plastic,0.1598,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000006_ann705.jpg,PaperCardboard,Other,0.8851,PaperCardboard,0.0636,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000009_ann1451.jpg,PaperCardboard,Other,0.7554,PaperCardboard,0.0994,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000009_ann3565.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000016_ann731.jpg,PaperCardboard,Other,0.7247,PaperCardboard,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000017_ann1725.jpg,PaperCardboard,Other,0.5003,Plastic,0.275,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000021_ann3672.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000022_ann3538.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000025_ann105.jpg,PaperCardboard,Other,0.4581,Glass,0.4055,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000025_ann3529.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000025_ann4193.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000029_ann4225.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000031_ann1082.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000031_ann769.jpg,PaperCardboard,Other,0.5638,Metal,0.1936,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000032_ann1751.jpg,PaperCardboard,Other,0.8958,Plastic,0.0665,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000032_ann4238.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000035_ann1104.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000035_ann2272.jpg,PaperCardboard,Other,0.8902,PaperCardboard,0.0429,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000037_ann3129.jpg,PaperCardboard,Other,0.4905,Glass,0.1859,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000037_ann775.jpg,PaperCardboard,Other,0.4566,Metal,0.2322,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000038_ann508.jpg,PaperCardboard,Other,0.4951,PaperCardboard,0.2997,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000039_ann1120.jpg,PaperCardboard,Other,0.626,Metal,0.1278,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000048_ann3742.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000049_ann3160.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000049_ann3161.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000050_ann4594.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000051_ann3778.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000052_ann1591.jpg,PaperCardboard,Other,0.8765,Plastic,0.0517,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000052_ann3781.jpg,PaperCardboard,Other,0.5063,Metal,0.1809,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000054_ann1596.jpg,PaperCardboard,Other,0.6858,Metal,0.186,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000056_ann1621.jpg,PaperCardboard,Other,0.8339,Plastic,0.107,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000056_ann1623.jpg,PaperCardboard,Other,0.8452,PaperCardboard,0.0724,PaperCardboard -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\PaperCardboard\000056_ann1624.jpg,PaperCardboard,Other,0.9864,PaperCardboard,0.0065,PaperCardboard -> Other
